Q	forecast	logq	logforecast		
14.7708414	27.91011916	2.692655062	3.328989317		
13.41936076	24.92908246	2.596698497	3.216035092		
12.40412653	23.06794673	2.518029202	3.138444066		
11.7330101	21.86704374	2.462406245	3.084980651		
11.27304415	21.10281022	2.422414402	3.049406218		
11.00177593	20.56122761	2.398056708	3.023407148		
10.74117491	20.2672738	2.374084479	3.009007457		
10.38838285	20.4880731	2.340688148	3.019842917		
9.98801848	20.54974898	2.301386223	3.022848726		
9.686856271	20.26140465	2.270769943	3.008717827		
9.45130312	19.72381013	2.246152628	2.981826542		
9.355054517	19.29233931	2.235916787	2.95970809		
9.285760684	18.94498061	2.228482118	2.941539021		
9.260598119	18.6593088	2.225768638	2.926345153		
9.201154248	18.42338828	2.219328938	2.91362096		
9.064229749	18.13334611	2.204335871	2.89775257		
8.883274346	17.83854659	2.184170222	2.881361655		
8.501161799	17.57198139	2.140202836	2.866305667		
8.104381843	17.34202992	2.092404884	2.85313303		
7.778444186	17.11251081	2.051356342	2.839809823		
7.704978099	16.87774827	2.041866626	2.825996084		
7.777354525	16.64962633	2.051216245	2.812387774		
7.955327698	16.42689736	2.073841855	2.798920074		
8.219212035	16.20851258	2.106474345	2.785536572		
8.512402516	15.99409649	2.14152422	2.772219685		
8.902630171	15.81773987	2.186346758	2.761132087		
9.411616528	15.62591	2.241944727	2.748930434		
9.895425983	15.87626998	2.292072628	2.764825541		
9.987315942	18.78117921	2.301315882	2.932855262		
9.571423907	21.58503377	2.258781983	3.072000193		
9.093507224	22.77561803	2.207560667	3.125690579		
8.85365278	20.5358251	2.180830117	3.022170927		
8.912336756	18.64240707	2.187436469	2.925438935		
9.028815775	17.4428279	2.200421215	2.858928556		
9.191490682	16.65218009	2.21827813	2.812541144		
9.418885714	16.10267077	2.242716792	2.778985144		
9.675429175	15.69584849	2.269589597	2.75339625		
9.989609964	15.37390268	2.301545549	2.732671441		
10.47149817	15.10273401	2.348657107	2.714875787		
11.03967032	14.86232759	2.401495178	2.698829662		
11.50042484	14.6408938	2.442383978	2.683818559		
11.84052809	14.43156091	2.471528231	2.669417538		
12.09905015	14.2303629	2.49312695	2.655377914		
12.14785549	14.06854758	2.497152651	2.643941638		
11.57324574	14.61858381	2.448696032	2.682293583		
10.72265068	15.22666052	2.37235839	2.723047873		
10.13915159	15.48677543	2.316404325	2.739986462		
10.20952074	14.79244185	2.323320691	2.694116364		
10.61245155	14.18682211	2.362027986	2.652313513		
11.06071798	13.75573923	2.403399911	2.621456136		
11.51783074	13.42876735	2.443896334	2.597399223		
11.92833182	13.16391796	2.478916396	2.577479599		
12.28122425	12.93654371	2.508071613	2.560056152		
12.37876324	12.7318765	2.515982363	2.544108809		
12.37447629	12.54142166	2.515635988	2.529036899		
12.29009926	12.35975823	2.508794	2.514445891		
12.30977051	12.18420838	2.510393297	2.500140718		
12.33103323	12.01286644	2.512119112	2.485978278		
12.36226062	11.84498137	2.514648333	2.471904265		
12.23393871	11.67986082	2.504213951	2.457866061		
12.00201298	11.51716384	2.485074384	2.44383843		
11.33420854	11.35747638	2.427825457	2.429876239		
10.5186977	12.21835765	2.353154407	2.502939547		
9.684490566	14.29054121	2.270525695	2.659597865		
9.279036336	15.76675008	2.227757698	2.757903297		
9.168779854	15.58080439	2.215804219	2.746039669		
9.128605776	14.0961759	2.211412975	2.645903548		
9.127845881	13.14572037	2.211329728	2.576096259		
9.20470999	12.47663782	2.219715308	2.523857921		
9.470343518	11.99282006	2.248165181	2.484308142		
9.82016769	11.64162196	2.284438199	2.454586776		
10.207026	11.37091316	2.323076306	2.431058618		
10.50774374	11.14829244	2.352112484	2.411286342		
10.7848904	10.95464445	2.378146117	2.393763517		
10.80656891	10.77873108	2.380154182	2.377574848		
10.64406606	10.6141023	2.365002559	2.362183523		
10.06158494	10.4574111	2.308724701	2.347310923		
9.346021813	10.32458777	2.234950778	2.334528213		
8.482107082	10.19991273	2.137958896	2.322379164		
7.678424794	10.04795976	2.038414421	2.307369605		
6.903174053	9.899831338	1.931981314	2.29251772		
