date	season	obs	yest.obs	two.yest.obs	three.yest.obs
1915-05-09	0	3.581273052	3.07346056	2.226242288	2.104342154
1915-05-10	0	3.989751291	3.581273052	3.07346056	2.226242288
1915-05-11	0	4.021708898	3.989751291	3.581273052	3.07346056
1915-05-12	0	3.972409816	4.021708898	3.989751291	3.581273052
1915-05-13	0	3.784826628	3.972409816	4.021708898	3.989751291
1915-05-14	0	3.644067706	3.784826628	3.972409816	4.021708898
1915-05-15	0	3.525272012	3.644067706	3.784826628	3.972409816
1915-05-16	0	3.469007173	3.525272012	3.644067706	3.784826628
1915-05-17	0	3.424628486	3.469007173	3.525272012	3.644067706
1915-05-18	0	3.351425082	3.424628486	3.469007173	3.525272012
1915-05-19	0	3.214011195	3.351425082	3.424628486	3.469007173
1915-05-20	0	3.061933054	3.214011195	3.351425082	3.424628486
1915-05-21	0	2.962993106	3.061933054	3.214011195	3.351425082
1915-05-22	0	2.922171112	2.962993106	3.061933054	3.214011195
1915-05-23	0	2.930469915	2.922171112	2.962993106	3.061933054
1915-05-24	0	2.90818487	2.930469915	2.922171112	2.962993106
1915-05-25	0	2.916600067	2.90818487	2.930469915	2.922171112
1915-05-26	0	3.01241799	2.916600067	2.90818487	2.930469915
1915-05-27	0	3.125111956	3.01241799	2.916600067	2.90818487
1915-05-28	0	3.16729357	3.125111956	3.01241799	2.916600067
1915-05-29	0	3.129636851	3.16729357	3.125111956	3.01241799
1915-05-30	0	3.109111615	3.129636851	3.16729357	3.125111956
1915-05-31	0	3.109111615	3.109111615	3.129636851	3.16729357
1915-06-01	0	3.064345601	3.109111615	3.109111615	3.129636851
1915-06-02	0	2.960322878	3.064345601	3.109111615	3.109111615
1915-06-03	0	2.867949558	2.960322878	3.064345601	3.109111615
1915-06-04	0	2.847208074	2.867949558	2.960322878	3.064345601
1915-06-05	0	2.899698256	2.847208074	2.867949558	2.960322878
1915-06-06	0	2.960322878	2.899698256	2.847208074	2.867949558
1915-06-07	0	2.989310415	2.960322878	2.899698256	2.847208074
1915-06-08	0	2.949570086	2.989310415	2.960322878	2.899698256
1915-06-09	0	2.867949558	2.949570086	2.989310415	2.960322878
1915-06-10	0	2.735171966	2.867949558	2.949570086	2.989310415
1915-06-11	0	2.592895142	2.735171966	2.867949558	2.949570086
1915-06-12	0	2.459253429	2.592895142	2.735171966	2.867949558
1915-06-13	0	2.40391051	2.459253429	2.592895142	2.735171966
1915-06-14	0	2.40391051	2.40391051	2.459253429	2.592895142
1915-06-15	0	2.391237259	2.40391051	2.40391051	2.459253429
1915-06-16	0	2.351733085	2.391237259	2.40391051	2.40391051
1915-06-17	0	2.29668258	2.351733085	2.391237259	2.40391051
1915-06-18	0	2.240073768	2.29668258	2.351733085	2.391237259
1915-06-19	0	2.180650347	2.240073768	2.29668258	2.351733085
1915-06-20	0	2.118712911	2.180650347	2.240073768	2.29668258
1915-06-21	0	2.086563908	2.118712911	2.180650347	2.240073768
