season	obs	residual	yest.residual	yest.all.obs
1	2.834357223	-0.844713169	-1.041391968	2.931817337
1	2.819353656	-0.632010074	-0.844713169	2.834357223
1	2.860996474	-0.427749008	-0.632010074	2.819353656
1	2.852350352	-0.393545925	-0.427749008	2.860996474
1	2.818219926	-0.402807991	-0.393545925	2.852350352
1	2.762679549	-0.428215158	-0.402807991	2.818219926
1	2.800312944	-0.3257991	-0.428215158	2.762679549
1	2.883147911	-0.262954342	-0.3257991	2.800312944
1	2.984457389	-0.231873393	-0.262954342	2.883147911
1	3.012442666	-0.308863968	-0.231873393	2.984457389
1	2.950609336	-0.449825572	-0.308863968	3.012442666
1	2.829172995	-0.578769404	-0.449825572	2.950609336
1	2.692655062	-0.636334255	-0.578769404	2.829172995
1	2.596698497	-0.619336596	-0.636334255	2.692655062
1	2.518029202	-0.620414864	-0.619336596	2.596698497
1	2.462406245	-0.622574406	-0.620414864	2.518029202
1	2.422414402	-0.626991815	-0.622574406	2.462406245
1	2.398056708	-0.62535044	-0.626991815	2.422414402
1	2.374084479	-0.634922978	-0.62535044	2.398056708
1	2.340688148	-0.679154769	-0.634922978	2.374084479
1	2.301386223	-0.721462503	-0.679154769	2.340688148
1	2.270769943	-0.737947884	-0.721462503	2.301386223
1	2.246152628	-0.735673914	-0.737947884	2.270769943
1	2.235916787	-0.723791303	-0.735673914	2.246152628
1	2.228482118	-0.713056903	-0.723791303	2.235916787
1	2.225768638	-0.700576515	-0.713056903	2.228482118
1	2.219328938	-0.694292022	-0.700576515	2.225768638
1	2.204335871	-0.693416699	-0.694292022	2.219328938
1	2.184170222	-0.697191433	-0.693416699	2.204335871
1	2.140202836	-0.726102831	-0.697191433	2.184170222
1	2.092404884	-0.760728146	-0.726102831	2.140202836
1	2.051356342	-0.788453481	-0.760728146	2.092404884
1	2.041866626	-0.784129458	-0.788453481	2.051356342
1	2.051216245	-0.761171529	-0.784129458	2.041866626
1	2.073841855	-0.72507822	-0.761171529	2.051216245
1	2.106474345	-0.679062227	-0.72507822	2.073841855
1	2.14152422	-0.630695465	-0.679062227	2.106474345
1	2.186346758	-0.574785329	-0.630695465	2.14152422
1	2.241944727	-0.506985707	-0.574785329	2.186346758
1	2.292072628	-0.472752912	-0.506985707	2.241944727
1	2.301315882	-0.63153938	-0.472752912	2.292072628
1	2.258781983	-0.81321821	-0.63153938	2.301315882
1	2.207560667	-0.918129912	-0.81321821	2.258781983
1	2.180830117	-0.84134081	-0.918129912	2.207560667
1	2.187436469	-0.738002466	-0.84134081	2.180830117
1	2.200421215	-0.65850734	-0.738002466	2.187436469
1	2.21827813	-0.594263014	-0.65850734	2.200421215
1	2.242716792	-0.536268352	-0.594263014	2.21827813
1	2.269589597	-0.483806653	-0.536268352	2.242716792
1	2.301545549	-0.431125892	-0.483806653	2.269589597
1	2.348657107	-0.366218681	-0.431125892	2.301545549
1	2.401495178	-0.297334483	-0.366218681	2.348657107
1	2.442383978	-0.241434581	-0.297334483	2.401495178
1	2.471528231	-0.197889307	-0.241434581	2.442383978
1	2.49312695	-0.162250965	-0.197889307	2.471528231
1	2.497152651	-0.146788987	-0.162250965	2.49312695
1	2.448696032	-0.233597551	-0.146788987	2.497152651
1	2.37235839	-0.350689483	-0.233597551	2.448696032
1	2.316404325	-0.423582137	-0.350689483	2.37235839
1	2.323320691	-0.370795673	-0.423582137	2.316404325
1	2.362027986	-0.290285527	-0.370795673	2.323320691
1	2.403399911	-0.218056225	-0.290285527	2.362027986
1	2.443896334	-0.153502889	-0.218056225	2.403399911
1	2.478916396	-0.098563203	-0.153502889	2.443896334
1	2.508071613	-0.051984539	-0.098563203	2.478916396
1	2.515982363	-0.028126446	-0.051984539	2.508071613
1	2.515635988	-0.013400911	-0.028126446	2.515982363
1	2.508794	-0.005651891	-0.013400911	2.515635988
0	2.510393297	0.010252579	-0.005651891	2.508794
0	2.512119112	0.026140834	0.010252579	2.510393297
0	2.514648333	0.042744069	0.026140834	2.512119112
0	2.504213951	0.04634789	0.042744069	2.514648333
0	2.485074384	0.041235954	0.04634789	2.504213951
0	2.427825457	-0.002050781	0.041235954	2.485074384
0	2.353154407	-0.14978514	-0.002050781	2.427825457
0	2.270525695	-0.389072169	-0.14978514	2.353154407
0	2.227757698	-0.530145599	-0.389072169	2.270525695
0	2.215804219	-0.53023545	-0.530145599	2.227757698
0	2.211412975	-0.434490573	-0.53023545	2.215804219
0	2.211329728	-0.364766531	-0.434490573	2.211412975
0	2.219715308	-0.304142613	-0.364766531	2.211329728
0	2.248165181	-0.236142961	-0.304142613	2.219715308
0	2.284438199	-0.170148577	-0.236142961	2.248165181
0	2.323076306	-0.107982311	-0.170148577	2.284438199
0	2.352112484	-0.059173858	-0.107982311	2.323076306
0	2.378146117	-0.015617399	-0.059173858	2.352112484
0	2.380154182	0.002579334	-0.015617399	2.378146117
0	2.365002559	0.002819036	0.002579334	2.380154182
0	2.308724701	-0.038586222	0.002819036	2.365002559
0	2.234950778	-0.099577435	-0.038586222	2.308724701
0	2.137958896	-0.184420269	-0.099577435	2.234950778
0	2.038414421	-0.268955184	-0.184420269	2.137958896
0	1.931981314	-0.360536407	-0.268955184	2.038414421
0	1.853151336	-0.424620724	-0.360536407	1.931981314
0	1.806810555	-0.456269542	-0.424620724	1.853151336
0	1.845558111	-0.403169946	-0.456269542	1.806810555
0	1.907653142	-0.332508642	-0.403169946	1.845558111
0	1.987820909	-0.243411345	-0.332508642	1.907653142
0	1.987396559	-0.23027102	-0.243411345	1.987820909
0	1.961412747	-0.243270541	-0.23027102	1.987396559
0	1.894767757	-0.325310629	-0.243270541	1.961412747
0	1.83588989	-0.410772951	-0.325310629	1.894767757
0	1.7548908	-0.47991972	-0.410772951	1.83588989
0	1.712404809	-0.48565501	-0.47991972	1.7548908
0	1.750104128	-0.419238115	-0.48565501	1.712404809
0	1.845170815	-0.300754001	-0.419238115	1.750104128
0	1.91934448	-0.206343369	-0.300754001	1.845170815
0	1.939189339	-0.168142797	-0.206343369	1.91934448
0	1.915373845	-0.174702017	-0.168142797	1.939189339
0	1.865111662	-0.208325261	-0.174702017	1.915373845
0	1.814193345	-0.242930757	-0.208325261	1.865111662
0	1.793447971	-0.247497386	-0.242930757	1.814193345
0	1.807245933	-0.217559396	-0.247497386	1.793447971
0	1.833738318	-0.174906409	-0.217559396	1.807245933
0	1.869211355	-0.123225868	-0.174906409	1.833738318
0	1.872765568	-0.103390403	-0.123225868	1.869211355
