season	obs	residual	yest.residual	two.yest.residual	three.yest.residual	ma.2
1	3.012442666	-0.308863968	-0.231873393	-0.262954342	-0.3257991	-0.267897234
1	2.950609336	-0.449825572	-0.308863968	-0.231873393	-0.262954342	-0.330187645
1	2.829172995	-0.578769404	-0.449825572	-0.308863968	-0.231873393	-0.445819648
1	2.692655062	-0.636334255	-0.578769404	-0.449825572	-0.308863968	-0.55497641
1	2.596698497	-0.619336596	-0.636334255	-0.578769404	-0.449825572	-0.611480085
1	2.518029202	-0.620414864	-0.619336596	-0.636334255	-0.578769404	-0.625361905
1	2.462406245	-0.622574406	-0.620414864	-0.619336596	-0.636334255	-0.620775289
1	2.422414402	-0.626991815	-0.622574406	-0.620414864	-0.619336596	-0.623327029
1	2.398056708	-0.62535044	-0.626991815	-0.622574406	-0.620414864	-0.62497222
1	2.374084479	-0.634922978	-0.62535044	-0.626991815	-0.622574406	-0.629088411
1	2.340688148	-0.679154769	-0.634922978	-0.62535044	-0.626991815	-0.646476062
1	2.301386223	-0.721462503	-0.679154769	-0.634922978	-0.62535044	-0.678513417
1	2.270769943	-0.737947884	-0.721462503	-0.679154769	-0.634922978	-0.712855052
1	2.246152628	-0.735673914	-0.737947884	-0.721462503	-0.679154769	-0.731694767
1	2.235916787	-0.723791303	-0.735673914	-0.737947884	-0.721462503	-0.732471034
1	2.228482118	-0.713056903	-0.723791303	-0.735673914	-0.737947884	-0.72417404
1	2.225768638	-0.700576515	-0.713056903	-0.723791303	-0.735673914	-0.712474907
1	2.219328938	-0.694292022	-0.700576515	-0.713056903	-0.723791303	-0.702641813
1	2.204335871	-0.693416699	-0.694292022	-0.700576515	-0.713056903	-0.696095079
1	2.184170222	-0.697191433	-0.693416699	-0.694292022	-0.700576515	-0.694966718
1	2.140202836	-0.726102831	-0.697191433	-0.693416699	-0.694292022	-0.705570321
1	2.092404884	-0.760728146	-0.726102831	-0.697191433	-0.693416699	-0.72800747
1	2.051356342	-0.788453481	-0.760728146	-0.726102831	-0.697191433	-0.758428152
1	2.041866626	-0.784129458	-0.788453481	-0.760728146	-0.726102831	-0.777770361
1	2.051216245	-0.761171529	-0.784129458	-0.788453481	-0.760728146	-0.777918156
1	2.073841855	-0.72507822	-0.761171529	-0.784129458	-0.788453481	-0.756793069
1	2.106474345	-0.679062227	-0.72507822	-0.761171529	-0.784129458	-0.721770658
1	2.14152422	-0.630695465	-0.679062227	-0.72507822	-0.761171529	-0.678278637
