date	season	obs
1916-04-19	1	2.699027561
1916-04-20	1	2.743177345
1916-04-21	1	2.813719404
1916-04-22	1	2.882505856
1916-04-23	1	2.938700414
1916-04-24	1	2.99190445
1916-04-25	1	3.027531628
1916-04-26	1	3.059514673
1916-04-27	1	3.044880266
1916-04-28	1	2.976238333
1916-04-29	1	2.894000235
1916-04-30	1	2.873797528
1916-05-01	0	2.930469915
1916-05-02	0	3.037481958
1916-05-03	0	3.118285991
1916-05-04	0	3.203583571
1916-05-05	0	3.165117291
1916-05-06	0	3.071548513
1916-05-07	0	2.927711292
1916-05-08	0	2.862067188
1916-05-09	0	2.832124831
1916-05-10	0	2.791809294
1916-05-11	0	2.720326889
1916-05-12	0	2.648464993
1916-05-13	0	2.593667045
1916-05-14	0	2.593667045
1916-05-15	0	2.615041905
1916-05-16	0	2.657916172
1916-05-17	0	2.67868312
1916-05-18	0	2.668711527
1916-05-19	0	2.647003005
1916-05-20	0	2.647003005
1916-05-21	0	2.657192322
1916-05-22	0	2.606699042
1916-05-23	0	2.492669426
1916-05-24	0	2.35467715
1916-05-25	0	2.248281748
1916-05-26	0	2.212781625
1916-05-27	0	2.289909957
1916-05-28	0	2.392181546
1916-05-29	0	2.462777662
1916-05-30	0	2.451278199
1916-05-31	0	2.415964434
1916-06-01	0	2.40391051
1916-06-02	0	2.462777662
1916-06-03	0	2.564702202
1916-06-04	0	2.6586395
1916-06-05	0	2.719646848
1916-06-06	0	2.749799886
1916-06-07	0	2.744505367
1916-06-08	0	2.703185571
1916-06-09	0	2.620314986
1916-06-10	0	2.53036233
1916-06-11	0	2.475015577
1916-06-12	0	2.461017098
1916-06-13	0	2.489249158
1916-06-14	0	2.486676257
1916-06-15	0	2.453499928
1916-06-16	0	2.386502401
1916-06-17	0	2.314691814
1916-06-18	0	2.237322734
1916-06-19	0	2.153461911
1916-06-20	0	2.06191934
1916-06-21	0	1.961144486
1916-06-22	0	1.887315789
1916-06-23	0	1.85796025
1916-06-24	0	1.85796025
1916-06-25	0	1.867575709
1916-06-26	0	1.85796025
1916-06-27	0	1.839268117
1916-06-28	0	1.755458411
1916-06-29	0	1.663976753
1916-06-30	0	1.609746599
1916-07-01	0	1.616944574
1916-07-02	0	1.603535399
1916-07-03	0	1.555679378
1916-07-04	0	1.496211494
1916-07-05	0	1.451286683
1916-07-06	0	1.415590585
1916-07-07	0	1.394057137
1916-07-08	0	1.368115345
1916-07-09	0	1.32515572
1916-07-10	0	1.288838879
1916-07-11	0	1.280267398
1916-07-12	0	1.274511987
1916-07-13	0	1.228747543
1916-07-14	0	1.159970445
1916-07-15	0	1.080871197
1916-07-16	0	1.017616149
1916-07-17	0	0.958040417
1916-07-18	0	0.911426102
1916-07-19	0	0.869046879
1916-07-20	0	0.83380094
1916-07-21	0	0.797267196
1916-07-22	0	0.75692958
1916-07-23	0	0.719933993
1916-07-24	0	0.686725322
1916-07-25	0	0.633379341
1916-07-26	0	0.565364465
1916-07-27	0	0.4732749
1916-07-28	0	0.373259132
1916-07-29	0	0.229830205
1916-07-30	0	0.068131283
1916-07-31	0	-0.062511325
1916-08-01	0	-0.144937824
1916-08-02	0	-0.185113647
1916-08-03	0	-0.19447409
1916-08-04	0	-0.232817445
1916-08-05	0	-0.310690955
1916-08-06	0	-0.398983562
1916-08-07	0	-0.512927821
1916-08-08	0	-0.561502492
1916-08-09	0	-0.691807034
1916-08-10	0	-0.733918519
1916-08-11	0	-0.733918519
1916-08-12	0	-0.755658506
1916-08-13	0	-0.712641121
1916-08-14	0	-0.702169821
1916-08-15	0	-0.631789024
1916-08-16	0	-0.651397496
1916-08-17	0	-0.702169821
1916-08-18	0	-0.766708342
1916-08-19	0	-0.800609894
1916-08-20	0	-0.835701214
1916-08-21	0	-0.872068858
1916-08-22	0	-0.899605016
1916-08-23	0	-0.945037878
1916-08-24	0	-0.978802057
1916-08-25	0	-1.035314268
1916-08-26	0	-1.035314268
1916-08-27	0	-1.060333968
1916-08-28	0	-1.035314268
1916-08-29	0	-1.002430676
1916-08-30	0	-0.978802057
1916-08-31	0	-1.002430676
1916-09-01	0	-1.002430676
1916-09-02	0	-1.002430676
1916-09-03	0	-0.978802057
1916-09-04	0	-1.035314268
1916-09-05	0	-1.035314268
1916-09-06	0	-1.035314268
1916-09-07	0	-1.035314268
1916-09-08	0	-1.035314268
1916-09-09	0	-1.022317695
1916-09-10	0	-1.048481978
1916-09-11	0	-1.110764822
1916-09-12	0	-1.192376158
1916-09-13	0	-1.218217389
1916-09-14	0	-1.250134992
1916-09-15	0	-1.26648413
1916-09-16	0	-1.294341084
1916-09-17	0	-1.261004664
1916-09-18	0	-1.244744143
1916-09-19	0	-1.145856142
1916-09-20	0	-1.145856142
1916-09-21	0	-1.136163013
1916-09-22	0	-1.055872995
1916-09-23	0	-0.965159281
1916-09-24	0	-0.907248365
1916-09-25	0	-1.015169701
1916-09-26	0	-1.048481978
1916-09-27	0	-0.996820563
1916-09-28	0	-0.958407061
1916-09-29	0	-0.958407061
1916-09-30	0	-0.900874857
1916-10-01	1	-0.096602361
1916-10-02	1	0.232288215
1916-10-03	1	0.36648428
1916-10-04	1	0.134807104
1916-10-05	1	0.046195234
1916-10-06	1	0.101325417
1916-10-07	1	0.176765124
1916-10-08	1	0.151802146
1916-10-09	1	0.151802146
1916-10-10	1	0.163266117
1916-10-11	1	0.212452854
1916-10-12	1	0.223245819
1916-10-13	1	0.163266117
1916-10-14	1	0.122096992
1916-10-15	1	0.029296224
1916-10-16	1	0.002370543
1916-10-17	1	-0.037550724
1916-10-18	1	-0.037550724
1916-10-19	1	-0.092630724
1916-10-20	1	-0.150922283
1916-10-21	1	-0.2679553
1916-10-22	1	-0.236080091
1916-10-23	1	-0.292546703
1916-10-24	1	-0.319177569
1916-10-25	1	-0.458406982
1916-10-26	1	-0.318467594
1916-10-27	1	-0.172154503
1916-10-28	1	-0.1196051
1916-10-29	1	-0.279492584
1916-10-30	1	-0.279492584
1916-10-31	1	-0.279492584
1916-11-01	1	-0.179539152
1916-11-02	1	-0.243295603
1916-11-03	1	-0.182632257
1916-11-04	1	-0.029012785
1916-11-05	1	0.133904577
1916-11-06	1	0.180219359
1916-11-07	1	0.129379682
1916-11-08	1	0.01770043
1916-11-09	1	-0.025829759
1916-11-10	1	-0.083050488
1916-11-11	1	-0.083050488
1916-11-12	1	-0.083050488
1916-11-13	1	-0.126610383
1916-11-14	1	-0.204556091
1916-11-15	1	-0.280858704
1916-11-16	1	-0.274725806
1916-11-17	1	-0.298094567
1916-11-18	1	-0.298094567
1916-11-19	1	-0.317758122
1916-11-20	1	-0.317758122
1916-11-21	1	-0.317758122
1916-11-22	1	-0.3443497
1916-11-23	1	-0.300182977
1916-11-24	1	-0.065262359
1916-11-25	1	0.422827414
1916-11-26	1	0.651030852
1916-11-27	1	0.668376183
1916-11-28	1	0.476485175
1916-11-29	1	0.330050378
1916-11-30	1	0.478086457
1916-12-01	1	1.065873122
1916-12-02	1	1.567590726
1916-12-03	1	1.884183445
1916-12-04	1	1.95896346
1916-12-05	1	1.891995985
1916-12-06	1	1.729248144
1916-12-07	1	1.495054756
1916-12-08	1	1.273067943
1916-12-09	1	1.080871197
1916-12-10	1	0.977648888
1916-12-11	1	0.890460973
1916-12-12	1	0.82930655
1916-12-13	1	0.771352907
1916-12-14	1	0.712367752
1916-12-15	1	0.657737785
1916-12-16	1	0.611217769
1916-12-17	1	0.591415142
1916-12-18	1	0.568292725
1916-12-19	1	0.547612519
1916-12-20	1	0.535600363
1916-12-21	1	0.585684467
1916-12-22	1	1.064983837
1916-12-23	1	1.30436495
1916-12-24	1	1.375968789
1916-12-25	1	1.130411643
1916-12-26	1	0.952082107
1916-12-27	1	0.933991162
1916-12-28	1	0.925844477
1916-12-29	1	0.888340082
1916-12-30	1	0.892577376
1916-12-31	1	0.923797393
1917-01-01	1	1.321032002
1917-01-02	1	1.435442354
1917-01-03	1	1.483413181
1917-01-04	1	1.354887639
1917-01-05	1	1.30576453
1917-01-06	1	1.278831648
1917-01-07	1	1.098232744
1917-01-08	1	0.973757833
1917-01-09	1	0.900998478
1917-01-10	1	0.851579186
1917-01-11	1	0.822526863
1917-01-12	1	0.787921334
1917-01-13	1	0.754505337
1917-01-14	1	0.694487327
1917-01-15	1	0.593698248
1917-01-16	1	0.498045934
1917-01-17	1	0.504299864
1917-01-18	1	0.568292725
1917-01-19	1	0.602778901
1917-01-20	1	0.562427605
1917-01-21	1	0.514225503
1917-01-22	1	0.476485175
1917-01-23	1	0.430575474
1917-01-24	1	0.401982648
1917-01-25	1	0.425866417
1917-01-26	1	0.471987898
1917-01-27	1	0.574123645
1917-01-28	1	0.817981401
1917-01-29	1	1.135399184
1917-01-30	1	1.227235827
1917-01-31	1	1.168028506
1917-02-01	1	0.965930004
1917-02-02	1	0.892577376
1917-02-03	1	0.864708477
1917-02-04	1	0.864708477
1917-02-05	1	0.896796792
1917-02-06	1	0.927887379
1917-02-07	1	0.940057914
1917-02-08	1	0.940057914
1917-02-09	1	0.931960704
1917-02-10	1	0.927887379
1917-02-11	1	0.915566894
1917-02-12	1	0.911426102
1917-02-13	1	0.90309272
1917-02-14	1	0.892577376
1917-02-15	1	0.93803975
1917-02-16	1	1.015748734
1917-02-17	1	1.110208935
1917-02-18	1	1.902061885
1917-02-19	1	2.847208074
1917-02-20	1	3.411432558
1917-02-21	1	3.457689348
1917-02-22	1	3.464172353
1917-02-23	1	3.616706218
1917-02-24	1	3.734335135
1917-02-25	1	3.60273951
1917-02-26	1	3.09425526
1917-02-27	1	2.741182
1917-02-28	1	2.531184023
1917-03-01	1	2.407170117
1917-03-02	1	2.236220198
1917-03-03	1	2.087204318
1917-03-04	1	1.963320766
1917-03-05	1	1.998911711
1917-03-06	1	1.998911711
1917-03-07	1	1.98198606
1917-03-08	1	1.98198606
1917-03-09	1	1.964768992
1917-03-10	1	1.930917342
1917-03-11	1	1.818546281
1917-03-12	1	1.808445185
1917-03-13	1	1.799095351
1917-03-14	1	1.790518969
1917-03-15	1	1.712627263
1917-03-16	1	1.672735934
1917-03-17	1	1.652177207
1917-03-18	1	1.652177207
1917-03-19	1	1.652177207
1917-03-20	1	1.662019806
1917-03-21	1	1.643235269
1917-03-22	1	1.61386607
1917-03-23	1	1.583608154
1917-03-24	1	1.603535399
1917-03-25	1	1.654153492
1917-03-26	1	1.753672696
1917-03-27	1	1.956048006
1917-03-28	1	2.217850631
1917-03-29	1	2.313160811
1917-03-30	1	2.266105606
1917-03-31	1	2.078201042
1917-04-01	1	1.964768992
1917-04-02	1	1.918869003
1917-04-03	1	1.964768992
1917-04-04	1	2.120572223
1917-04-05	1	2.315201628
1917-04-06	1	2.534054642
1917-04-07	1	2.627427126
1917-04-08	1	2.600204273
1917-04-09	1	2.463217319
1917-04-10	1	2.676909755
1917-04-11	1	2.839996504
1917-04-12	1	2.933220948
1917-04-13	1	2.757689473
1917-04-14	1	2.587475075
1917-04-15	1	2.452611828
1917-04-16	1	2.324334111
1917-04-17	1	2.225127461
1917-04-18	1	2.154659516
1917-04-19	1	2.147452278
1917-04-20	1	2.309066639
1917-04-21	1	2.680453345
1917-04-22	1	2.956572539
1917-04-23	1	3.14753442
1917-04-24	1	3.218151987
1917-04-25	1	3.246667158
1917-04-26	1	3.211934351
1917-04-27	1	3.102175171
1917-04-28	1	2.976238333
1917-04-29	1	2.85317824
1917-04-30	1	2.743841576
1917-05-01	0	2.6586395
1917-05-02	0	2.636708796
1917-05-03	0	2.703876895
1917-05-04	0	2.785460066
1917-05-05	0	2.88539186
1917-05-06	0	2.941428929
1917-05-07	0	3.01241799
1917-05-08	0	3.027531628
1917-05-09	0	3.04242024
1917-05-10	0	2.989310415
1917-05-11	0	2.973603286
1917-05-12	0	3.027531628
1917-05-13	0	3.102175171
1917-05-14	0	3.061933054
1917-05-15	0	2.905363994
1917-05-16	0	2.743177345
1917-05-17	0	2.638185901
1917-05-18	0	2.554322867
1917-05-19	0	2.42833006
1917-05-20	0	2.440094901
1917-05-21	0	2.485817151
1917-05-22	0	2.560722889
1917-05-23	0	2.616551339
1917-05-24	0	2.540585278
1917-05-25	0	2.469789084
1917-05-26	0	2.392653355
1917-05-27	0	2.52830514
1917-05-28	0	2.685041319
1917-05-29	0	2.775859993
1917-05-30	0	2.826027251
1917-05-31	0	2.844209571
1917-06-01	0	2.882505856
1917-06-02	0	2.899698256
1917-06-03	0	2.891139003
1917-06-04	0	2.862067188
1917-06-05	0	2.873797528
