date,obs,Average_3day_ahead,error10,error30
3/6/1905,7.576859491,7.457851227,7.030144635,9.391854954
3/7/1905,7.576859491,7.107438005,6.441272827,6.103315274
3/8/1905,7.576859491,6.928925608,7.002976802,8.067376475
3/9/1905,7.219834699,7.047933872,7.419401445,6.64906693
3/10/1905,6.525619824,7.649586764,7.259893572,7.459088323
3/11/1905,7.041322302,8.482644614,8.379593825,8.154817741
3/12/1905,7.576859491,9.20991734,8.75516711,11.33406456
3/13/1905,8.330578498,8.899173539,9.710893766,8.325051563
3/14/1905,9.540495852,8.429752052,9.154189279,5.981131823
3/15/1905,9.75867767,8.0859504,8.278252316,6.842952685
3/16/1905,7.398347095,19.6363636,19.19227728,24.7238607
3/17/1905,8.132231391,23.80165285,24.88025781,21.30538035
3/18/1905,8.727272713,27.15371896,29.83875885,27.91468827
3/19/1905,42.04958671,18.73057848,18.14041397,15.65194564
3/20/1905,20.62809914,16.50247931,18.06883309,13.12838274
3/21/1905,18.78347104,15.59669419,16.1756346,17.11702617
3/22/1905,16.78016526,14.96198345,14.80924402,18.82095143
3/23/1905,13.94380163,15.59008262,15.01598821,12.89649601
3/24/1905,16.06611568,15.98677683,17.11034663,11.53707362
3/25/1905,14.87603303,16.14545452,16.59300319,18.47244184
3/26/1905,15.82809915,16.70082642,17.53166815,19.32735421
3/27/1905,17.25619832,15.98677683,15.28991979,12.14320288
3/28/1905,15.35206609,15.28595039,14.39060027,17.9573818
3/29/1905,17.49421485,13.87107435,14.30767475,15.38041605
3/30/1905,15.11404956,13.55371898,13.95760241,9.692118171
3/31/1905,13.24958675,13.55371898,13.04370864,15.62823358
4/1/1905,13.24958675,13.63305783,13.3404483,16.43355795
4/2/1905,14.16198345,13.63305783,12.53149922,17.57663929
4/3/1905,13.24958675,13.71239667,14.82213117,13.56875186
4/4/1905,13.48760328,13.93719006,13.07228446,12.43018661
4/5/1905,14.16198345,13.3289256,13.22368111,13.91846316
4/6/1905,13.48760328,12.79999998,12.11148727,11.959097
4/7/1905,14.16198345,12.27107436,12.99379086,12.0582237
4/8/1905,12.33719006,11.907438,11.25791263,10.73532163
4/9/1905,11.90082643,11.907438,12.38081854,9.753230372
4/10/1905,12.57520659,10.55867767,10.2308509,10.76994739
4/11/1905,11.24628097,10.19504131,9.767517666,12.15135746
4/12/1905,11.90082643,9.408264446,9.902069691,6.791640766
4/13/1905,8.528925605,9.408264446,9.822891703,10.91751376
4/14/1905,10.15537188,8.674380151,9.032439465,10.22638634
4/15/1905,9.540495852,7.960330565,8.42791571,5.872441244
4/16/1905,8.528925605,7.709090896,7.215297121,8.282314423
4/17/1905,7.953718995,7.966942135,8.750968784,7.090873935
4/18/1905,7.398347095,9.104132217,9.090977558,11.27568917
4/19/1905,7.775206598,11.78842973,12.16208292,14.09121957
4/20/1905,8.727272713,15.68925617,14.55012329,15.1023051
4/21/1905,10.80991734,21.93719005,20.38492232,16.05490205
4/22/1905,15.82809915,23.93388426,24.76836799,26.06202428
4/23/1905,20.42975203,23.38512393,25.55836928,23.03086077
4/24/1905,29.55371896,18.96859501,18.51847062,21.50875713
4/25/1905,21.81818178,17.28925617,18.84736183,14.85419039
4/26/1905,18.78347104,16.78016526,18.36603247,13.95791955
4/27/1905,16.3041322,17.01818179,18.36682158,17.36279967
4/28/1905,16.78016526,15.92066113,14.33747223,16.14703352
4/29/1905,17.25619832,14.8165289,15.59696759,12.03712702
4/30/1905,17.01818179,13.48760328,13.97810025,11.18429596
5/1/1905,13.48760328,12.88595039,11.75234782,10.59166049
5/2/1905,13.94380163,12.05950411,11.28529834,10.3543548
5/3/1905,13.03140494,11.46446279,12.22192408,11.4486081
5/4/1905,11.68264461,11.46446279,12.4586427,8.66655248
5/5/1905,11.46446279,11.46446279,12.46616643,8.704229324
5/6/1905,11.24628097,11.907438,10.8022662,15.05479801
5/7/1905,11.68264461,11.76198345,11.2936443,10.67179571
5/8/1905,11.46446279,11.25950411,11.81444366,10.63244281
5/9/1905,12.57520659,10.38677684,10.61499294,11.01883275
5/10/1905,11.24628097,9.679338827,9.252219434,11.92057134
5/11/1905,9.957024777,10.18181816,9.363469902,11.71023343
5/12/1905,9.957024777,11.58347106,11.64032855,13.01441601
5/13/1905,9.123966927,14.13553717,13.00567758,14.80099587
5/14/1905,11.46446279,16.31735535,16.97589064,11.68479386
5/15/1905,14.16198345,17.11074377,18.03692972,13.65059249
5/16/1905,16.78016526,16.7933884,17.84782979,16.85633123
5/17/1905,18.00991733,15.90743799,14.89873381,14.16807631
5/18/1905,16.54214873,14.80991733,15.3862286,13.08755438
5/19/1905,15.82809915,12.99173551,12.57674106,13.41525321
5/20/1905,15.35206609,11.62314047,12.6780858,12.6661494
5/21/1905,13.24958675,11.24628097,10.31497653,10.79941406
5/22/1905,10.3735537,12.43636361,11.78291756,9.956953648
5/23/1905,11.24628097,13.03140494,14.27226761,12.23929039
5/24/1905,12.11900824,12.74049585,13.46468184,15.08358038
5/25/1905,13.94380163,11.62314048,11.60291411,10.01361871
5/26/1905,13.03140494,9.990082627,10.36168935,8.378721562
5/27/1905,11.24628097,8.64793387,8.643167929,6.260023817
5/28/1905,10.59173552,7.127272715,6.893903649,8.597011177
5/29/1905,8.132231391,6.942148749,7.217285934,7.165705065
5/30/1905,7.219834699,7.001652881,7.346424602,8.133513344
5/31/1905,6.029752056,7.338842963,7.770416208,5.826606582
6/1/1905,7.576859491,7.279338831,6.97748643,5.525917382
6/2/1905,7.398347095,7.160330566,6.558365039,5.317639805
6/3/1905,7.041322302,7.993388416,8.052212583,9.245903605
6/4/1905,7.398347095,8.780165275,7.970317226,10.14505275
6/5/1905,7.041322302,9.7520661,9.012952701,10.52262168
6/6/1905,9.540495852,10.10247932,9.988851378,10.68853805
6/7/1905,9.75867767,9.375206596,9.216954258,12.06432565
6/8/1905,9.957024777,8.707438002,9.129830473,8.372438594
6/9/1905,10.59173552,7.702479326,7.06034502,8.10596587
6/10/1905,7.576859491,7.411570235,7.65156212,9.545613471
6/11/1905,7.953718995,6.71735536,7.250596388,5.259615673
6/12/1905,7.576859491,6.254545444,6.015560377,6.760765756
6/13/1905,6.70413222,5.877685941,5.353218193,5.020401986
6/14/1905,5.87107437,5.633057842,5.405366956,4.138035984
6/15/1905,6.188429742,5.236363628,5.233584351,4.413767075
6/16/1905,5.57355371,5.044628091,5.414247661,5.437535955
6/17/1905,5.137190074,4.998347099,4.921671526,4.414635286
6/18/1905,4.998347099,5.044628091,4.714572933,6.296091267
6/19/1905,4.998347099,4.819834703,5.162467137,3.689363543
6/20/1905,4.998347099,4.727272719,4.511884333,3.956821762
6/21/1905,5.137190074,4.257851233,4.213506731,3.793551283
6/22/1905,4.323966935,3.953719002,4.218496872,5.078904865
6/23/1905,4.720661149,3.477685945,3.422186434,3.343086259
6/24/1905,3.728925614,3.193388424,3.324856704,4.000887659
6/25/1905,3.411570242,2.948760326,2.816901042,3.107385717
6/26/1905,3.292561978,2.710743797,2.60418832,2.792324528
6/27/1905,2.876033053,2.585123963,2.693571641,1.921940171
6/28/1905,2.677685946,2.466115698,2.415872991,2.098019794
6/29/1905,2.578512392,2.380165285,2.465843156,2.165870777
6/30/1905,2.49917355,2.261157021,2.104910236,1.815073745
7/1/1905,2.320661153,2.201652889,2.359797821,1.646233068
7/2/1905,2.320661153,2.089256195,2.278444701,2.008310035
7/3/1905,2.142148757,2.036363633,1.916413929,2.185568114
7/4/1905,2.142148757,1.930578509,1.803672333,1.651818984
7/5/1905,1.983471071,1.877685947,2.056004168,1.446510236
7/6/1905,1.983471071,1.771900823,1.834079522,2.054967303
7/7/1905,1.824793385,1.719008262,1.654148323,1.807351432
7/8/1905,1.824793385,1.619834708,1.684091956,1.677350372
7/9/1905,1.6661157,1.573553717,1.593720557,1.436261366
7/10/1905,1.6661157,1.480991733,1.470612643,1.368590126
7/11/1905,1.527272725,1.434710742,1.526875783,1.806352121
7/12/1905,1.527272725,1.348760328,1.412526388,1.187520159
7/13/1905,1.38842975,1.309090907,1.378201559,1.290096582
7/14/1905,1.38842975,1.269421485,1.375726127,1.230221333
7/15/1905,1.269421485,1.229752064,1.197739422,1.517060417
7/16/1905,1.269421485,1.190082642,1.072278874,1.274992699
7/17/1905,1.269421485,1.150413221,1.082851027,1.16172557
7/18/1905,1.150413221,1.1107438,1.078513468,1.349387569
7/19/1905,1.150413221,1.071074378,1.147928597,1.19133987
7/20/1905,1.150413221,1.031404957,1.077718714,0.82355628
7/21/1905,1.031404957,0.995041321,1.000071324,0.772195404
7/22/1905,1.031404957,0.958677684,0.968440559,0.904191954
7/23/1905,1.031404957,0.922314048,0.923107893,1.103494695
7/24/1905,0.922314048,0.885950412,0.951337205,0.719153703
7/25/1905,0.922314048,0.849586775,0.779067338,0.638181248
7/26/1905,0.922314048,0.794710742,0.812514322,0.950948553
7/27/1905,0.813223139,0.776198346,0.738413617,0.753752567
7/28/1905,0.813223139,0.757685949,0.775816554,0.984287291
7/29/1905,0.757685949,0.739834709,0.698559183,0.785061995
7/30/1905,0.757685949,0.72198347,0.659881818,0.633820978
7/31/1905,0.757685949,0.70413223,0.755872804,0.669752498
8/1/1905,0.70413223,0.70413223,0.675200335,0.685096111
8/2/1905,0.70413223,0.68628099,0.706700276,0.761910177
8/3/1905,0.70413223,0.668429751,0.604044533,0.677850172
8/4/1905,0.70413223,0.650578511,0.693240734,0.752610618
8/5/1905,0.650578511,0.650578511,0.618461621,0.596731678
8/6/1905,0.650578511,0.632066114,0.654023996,0.771980441
8/7/1905,0.650578511,0.613553718,0.645673262,0.755858374
8/8/1905,0.650578511,0.595041321,0.582432248,0.694177829
8/9/1905,0.595041321,0.595041321,0.603012883,0.51294097
8/10/1905,0.595041321,0.595041321,0.601827699,0.49768646
8/11/1905,0.595041321,0.578512396,0.627234273,0.616440242
8/12/1905,0.595041321,0.56198347,0.514817996,0.483105173
8/13/1905,0.595041321,0.545454545,0.556225103,0.54337954
8/14/1905,0.545454545,0.545454545,0.588114517,0.587603081
8/15/1905,0.545454545,0.545454545,0.498682304,0.538993386
8/16/1905,0.545454545,0.528925619,0.530708596,0.470379215
8/17/1905,0.545454545,0.512396694,0.464335854,0.425000236
8/18/1905,0.545454545,0.495867768,0.503130496,0.595682428
8/19/1905,0.495867768,0.495867768,0.494722885,0.434032115
8/20/1905,0.495867768,0.495867768,0.491831245,0.579765448
8/21/1905,0.495867768,0.466115702,0.47865793,0.457694874
8/22/1905,0.495867768,0.436363636,0.443542808,0.356486418
8/23/1905,0.495867768,0.40661157,0.417912667,0.47184437
8/24/1905,0.40661157,0.40661157,0.394848449,0.513914488
8/25/1905,0.40661157,0.40661157,0.412130278,0.438601094
8/26/1905,0.40661157,0.380165289,0.407777647,0.306289367
8/27/1905,0.40661157,0.353719008,0.321639461,0.322088133
8/28/1905,0.40661157,0.327272727,0.314569322,0.341101548
8/29/1905,0.327272727,0.316033058,0.34461693,0.385191939
8/30/1905,0.327272727,0.304793388,0.293407099,0.347977345
8/31/1905,0.327272727,0.293553719,0.277425515,0.293202878
9/1/1905,0.293553719,0.281652892,0.255546136,0.332635071
9/2/1905,0.293553719,0.25983471,0.268357128,0.268193635
9/3/1905,0.293553719,0.247933884,0.234361957,0.22820088
9/4/1905,0.257851239,0.247933884,0.229363788,0.231971105
9/5/1905,0.228099173,0.257851239,0.266018681,0.19665089
9/6/1905,0.257851239,0.247933884,0.22973446,0.197491889
9/7/1905,0.257851239,0.247933884,0.233275407,0.178101279
9/8/1905,0.257851239,0.247933884,0.255571269,0.314764086
9/9/1905,0.228099173,0.247933884,0.23641839,0.189687757
9/10/1905,0.257851239,0.247933884,0.242166009,0.191121222
9/11/1905,0.257851239,0.247933884,0.252294241,0.320883691
9/12/1905,0.228099173,0.257851239,0.279847219,0.262176071
9/13/1905,0.257851239,0.280991735,0.279692284,0.25705778
9/14/1905,0.257851239,0.292892562,0.295386684,0.212729905
9/15/1905,0.257851239,0.316033058,0.343192953,0.356665034
9/16/1905,0.327272727,0.292892562,0.314157306,0.282419316
9/17/1905,0.293553719,0.292892562,0.283352515,0.277542664
9/18/1905,0.327272727,0.281652892,0.274723134,0.361887088
9/19/1905,0.257851239,0.281652892,0.304842355,0.35064599
9/20/1905,0.293553719,0.281652892,0.28713034,0.362113174
9/21/1905,0.293553719,0.281652892,0.270700001,0.359569142
9/22/1905,0.257851239,0.281652892,0.266903659,0.217495534
9/23/1905,0.293553719,0.269752066,0.276674581,0.299490851
9/24/1905,0.293553719,0.269752066,0.259922791,0.347290524
9/25/1905,0.257851239,0.281652892,0.257691826,0.340967341
9/26/1905,0.257851239,0.293553719,0.302496419,0.3178408
9/27/1905,0.293553719,0.293553719,0.285531605,0.299589967
9/28/1905,0.293553719,0.293553719,0.285027897,0.352654086
9/29/1905,0.293553719,0.281652892,0.271929081,0.244157873
9/30/1905,0.293553719,0.281652892,0.303027256,0.281699628
10/1/1905,0.293553719,0.281652892,0.269153938,0.350982831
10/2/1905,0.257851239,0.293553719,0.276254299,0.249301026
10/3/1905,0.293553719,0.293553719,0.306697454,0.276410096
10/4/1905,0.293553719,0.293553719,0.290289781,0.355086365
10/5/1905,0.293553719,0.281652892,0.274345344,0.280480184
10/6/1905,0.293553719,0.281652892,0.265096985,0.312328935
10/7/1905,0.293553719,0.269752066,0.267991454,0.261800775
10/8/1905,0.257851239,0.281652892,0.295210522,0.345457234
10/9/1905,0.293553719,0.281652892,0.282343049,0.229334757
10/10/1905,0.257851239,0.293553719,0.302565402,0.363954178
10/11/1905,0.293553719,0.293553719,0.283178782,0.285573233
10/12/1905,0.293553719,0.304793388,0.284274681,0.280934085
10/13/1905,0.293553719,0.304793388,0.321487049,0.231170127
10/14/1905,0.293553719,0.304793388,0.316915674,0.364358922
10/15/1905,0.327272727,0.293553719,0.305590312,0.367050047
10/16/1905,0.293553719,0.293553719,0.307478746,0.365965994
10/17/1905,0.293553719,0.293553719,0.294874931,0.281089816
10/18/1905,0.293553719,0.293553719,0.315208516,0.340954994
10/19/1905,0.293553719,0.293553719,0.26549578,0.219961524
10/20/1905,0.293553719,0.293553719,0.266674533,0.211266041
10/21/1905,0.293553719,0.293553719,0.268534228,0.37351743
10/22/1905,0.293553719,0.304793388,0.328882171,0.289979668
10/23/1905,0.293553719,0.304793388,0.326049072,0.270936278
10/24/1905,0.293553719,0.304793388,0.329155766,0.326718339
10/25/1905,0.327272727,0.293553719,0.301227491,0.279117473
10/26/1905,0.293553719,0.293553719,0.308976927,0.228552274
10/27/1905,0.293553719,0.293553719,0.303299845,0.324874292
10/28/1905,0.293553719,0.293553719,0.303537635,0.254315456
10/29/1905,0.293553719,0.293553719,0.321918003,0.299431815
10/30/1905,0.293553719,0.293553719,0.320097565,0.37779084
10/31/1905,0.293553719,0.293553719,0.317002717,0.35628637
11/1/1905,0.293553719,0.293553719,0.273836908,0.222211247
11/2/1905,0.293553719,0.293553719,0.284718704,0.272338719
11/3/1905,0.293553719,0.304793388,0.331218033,0.317487661
11/4/1905,0.293553719,0.316033058,0.310430839,0.261853313
11/5/1905,0.293553719,0.327272727,0.303782405,0.238647274
11/6/1905,0.327272727,0.327272727,0.331860253,0.33883891
11/7/1905,0.327272727,0.327272727,0.308816232,0.380213497
11/8/1905,0.327272727,0.327272727,0.309249231,0.404447228
11/9/1905,0.327272727,0.327272727,0.358150627,0.293833875
11/10/1905,0.327272727,0.327272727,0.32842219,0.296509681
11/11/1905,0.327272727,0.316033058,0.347450904,0.327281342
11/12/1905,0.327272727,0.304793388,0.288844072,0.293089022
11/13/1905,0.327272727,0.304793388,0.293365758,0.248442839
11/14/1905,0.293553719,0.329256198,0.321765028,0.373575402
11/15/1905,0.293553719,0.317355371,0.343121244,0.370185583
11/16/1905,0.327272727,0.317355371,0.337017198,0.404195879
11/17/1905,0.366942148,0.317355371,0.290690926,0.274863284
11/18/1905,0.257851239,0.340495867,0.348212131,0.330666603
11/19/1905,0.327272727,0.38214876,0.3648765,0.364948522
11/20/1905,0.366942148,0.368925619,0.368719028,0.372190122
11/21/1905,0.327272727,0.410578512,0.39696779,0.522554881
11/22/1905,0.452231404,0.368925619,0.37186479,0.26504276
11/23/1905,0.327272727,0.3953719,0.378272464,0.489739935
11/24/1905,0.452231404,0.353719008,0.339268675,0.429644205
11/25/1905,0.327272727,0.479338842,0.488282596,0.446227583
11/26/1905,0.40661157,0.707438015,0.750465226,0.904288705
11/27/1905,0.327272727,0.869421486,0.79428781,0.621044772
11/28/1905,0.70413223,0.851570246,0.775505136,0.631920437
11/29/1905,1.090909089,0.669752065,0.682525979,0.480744261
11/30/1905,0.813223139,0.563966941,0.609483535,0.481934943
12/1/1905,0.650578511,0.528925619,0.485738727,0.578644452
12/2/1905,0.545454545,0.482644628,0.454368075,0.602904308
12/3/1905,0.495867768,0.468099173,0.422619332,0.431652234
12/4/1905,0.545454545,0.451570247,0.412589705,0.421547403
12/5/1905,0.40661157,0.466776859,0.461061208,0.38394087
12/6/1905,0.452231404,0.466776859,0.436084961,0.350407872
12/7/1905,0.495867768,0.452231404,0.46757416,0.513434249
12/8/1905,0.452231404,0.410578512,0.388072956,0.391613887
12/9/1905,0.452231404,0.368925619,0.367556426,0.27462255
12/10/1905,0.452231404,0.304132231,0.301126219,0.291213105
12/11/1905,0.327272727,0.292892562,0.267008846,0.380142992
12/12/1905,0.327272727,0.292892562,0.2969257,0.325930538
12/13/1905,0.257851239,0.342479339,0.328599588,0.315028117
12/14/1905,0.293553719,0.380165289,0.381870991,0.407412549
12/15/1905,0.327272727,0.421818181,0.415989577,0.540101011
12/16/1905,0.40661157,0.451570247,0.429689284,0.480288344
12/17/1905,0.40661157,0.451570247,0.45235515,0.498240219
12/18/1905,0.452231404,0.423140495,0.443121077,0.436627305
12/19/1905,0.495867768,0.380165289,0.351401355,0.275443847
12/20/1905,0.40661157,0.409917355,0.389929054,0.454450956
12/21/1905,0.366942148,0.485950412,0.493047059,0.579199124
12/22/1905,0.366942148,0.528925619,0.536938544,0.417603117
12/23/1905,0.495867768,0.56198347,0.556681656,0.516330285
