"Date","Q","fitted_q","fitted_q_TAF"
1969-05-08,17.3575244058327,3.76806816221621,14.4798734011784
1969-05-09,18.4509991519152,3.71508470685791,14.2762694075888
1969-05-10,19.9952494208176,3.66462980675017,14.0823821065694
1969-05-11,20.26795140682,3.61539315475523,13.8931762703445
1969-05-12,20.1704841039727,3.56712030932154,13.7076741348992
1969-05-13,18.5516924247556,3.51967626916187,13.5253569193984
1969-05-14,17.6962512419425,3.47125448152544,13.3392824311859
1969-05-15,17.147406235282,3.42195864614673,13.1498491659794
1969-05-16,17.8433124549555,3.37379323456811,12.9647598756721
1969-05-17,18.2907759820527,3.32677966539547,12.7840968673478
1969-05-18,17.7912668077959,3.28131023420139,12.6093676482971
1969-05-19,16.720803980028,3.23716056440483,12.4397099877036
1969-05-20,15.7987357661404,3.19287606981587,12.2695342245067
1969-05-21,16.1689050554844,3.1496276470207,12.1033398617947
1969-05-22,16.6101747209817,3.10595015408255,11.935496675048
1969-05-23,17.1719236075888,3.06256676722405,11.7687836745443
1969-05-24,16.540063643089,3.01985675094801,11.6046582919834
1969-05-25,15.6885366369921,2.97683476790566,11.4393340884121
1969-05-26,14.9172717613219,2.93313194760802,11.2713935740845
1969-05-27,14.422838113059,2.89117694509034,11.1101695465857
1969-05-28,14.0233340048936,2.8503047283812,10.9531064314573
1969-05-29,13.6800477984959,2.81042097375123,10.7998417629472
1969-05-30,13.6584553073251,2.77173220856918,10.6511691811979
1969-05-31,13.1960662932376,2.73294829899955,10.5021309800841
1969-06-01,13.2414019231175,2.69414908351688,10.353033961647
1969-06-02,13.3529344546945,2.65541679759319,10.2041941390724
1969-06-03,13.6627566008661,2.61703351622249,10.0566954657356
1969-06-04,13.6081731914773,2.57911394083436,9.91097871449624
1969-06-05,12.9305904813917,2.54182239856436,9.7676753591008
1969-06-06,12.5837342018736,2.50504535378901,9.62634910663109
1969-06-07,11.9962635826649,2.46868983982899,9.48664270618574
1969-06-08,11.7073027088569,2.43557743376,9.35939887002186
1969-06-09,10.9833090453956,2.42668582566663,9.32523033750543
1969-06-10,10.3002636930378,2.4216492823363,9.30587598756715
1969-06-11,9.80281913999099,2.42516863556748,9.31940010312126
1969-06-12,9.88953321037796,2.3981143895766,9.21543646975591
1969-06-13,9.96244012938072,2.36840563459747,9.10127213076701
1969-06-14,10.5611801367296,2.32557734658535,8.93669225542848
1969-06-15,11.361263677623,2.29375735188395,8.81441487745467
1969-06-16,11.7136256146463,2.27377234304943,8.73761679807092
1969-06-17,11.3582957886446,2.25627423053376,8.67037532496615
1969-06-18,10.5817833359635,2.24870291097393,8.64128037657709
1969-06-19,10.2342388497224,2.22666896623997,8.55660867836433
1969-06-20,9.52654708776427,2.19003064560921,8.41581551286779
1969-06-21,8.63987851749865,2.14848039068057,8.256146843074
1969-06-22,7.84848358990884,2.110809891908,8.11138723955735
1969-06-23,7.38914849373039,2.07554596378615,7.97587556809855
1969-06-24,7.01325848481808,2.04183871764879,7.84634588982322
1969-06-25,6.47916691363621,2.00920078282364,7.72092534433446
1969-06-26,5.68175017546111,1.97728340188268,7.59827373204235
1969-06-27,4.61791133922483,1.94590827687366,7.47770589236464
1969-06-28,3.8699594723449,1.91497737973482,7.35884512459874
1969-06-29,4.01164406892213,1.88441832040937,7.24141324936658
1969-06-30,4.69597981000059,1.854196457839,7.12527714855109
1969-07-01,5.10769959088713,1.82429233521104,7.01036205381686
1969-07-02,4.92605598091518,1.79468752214581,6.89659714118908
1969-07-03,4.58259772243076,1.76535183563003,6.78386642385638
1969-07-04,4.48211951430253,1.73628936799931,6.67218562778202
1969-07-05,4.52745514417722,1.7075048147139,6.56157279660728
1969-07-06,4.68195759442725,1.6789852895794,6.4519784114658
1969-07-07,4.63550362842342,1.6507388705478,6.34343351418513
1969-07-08,4.79000607867344,1.62276210634684,6.23592484227028
1969-07-09,4.80828657459762,1.59504025956448,6.12939576302474
1969-07-10,4.76729525084779,1.56756715631613,6.02382255154129
1969-07-11,4.31023984008916,1.54034354016953,5.91920806519052
1969-07-12,3.87279832609082,1.51337307353102,5.81556637781015
1969-07-13,3.8344738040054,1.48664716711504,5.71286448262797
1969-07-14,3.94144696474274,1.46017731455445,5.61114654719665
1969-07-15,4.26972165836835,1.43395104183203,5.51036463655784
1969-07-16,4.39983577633228,1.40795047660084,5.41045007113626
1969-07-17,4.46788223403002,1.38218239316862,5.31142888313576
1969-07-18,4.15560835091658,1.35667265772436,5.2134004707428
1969-07-19,3.61635522795911,1.33140350954925,5.11629658334496
1969-07-20,3.46228290711263,1.30636431321118,5.02007635127008
1969-07-21,3.41385034616998,1.28155722179005,4.92474804833986
1969-07-22,3.50069345496946,1.2569839652918,4.83031832259411
1969-07-23,3.51019931287252,1.23267906245401,4.73691982209774
1969-07-24,3.72427467327235,1.20858155256624,4.64431828798607
1969-07-25,3.69278920742557,1.18467935525513,4.55246729798931
1969-07-26,3.40159166082849,1.16095451705129,4.46129786079603
1969-07-27,3.25289595646459,1.13746010315338,4.37101389452178
1969-07-28,3.60482776249695,1.11418965245172,4.28159057051532
1969-07-29,3.95602834864999,1.09113919348605,4.1930126273112
1969-07-30,4.24434402888088,1.06830150900883,4.10525233058352
1969-07-31,4.14954352771102,1.04567669114574,4.01831003435141
1969-08-01,3.75920117381922,1.02326354434567,3.9321811443697
1969-08-02,3.34313708681042,1.00105442829636,3.84683630056599
1969-08-03,3.41905491057626,0.979048892801452,3.76227377293274
1969-08-04,3.7742987118475,0.957252251424732,3.67851398034975
1969-08-05,4.180254759476,0.935657308793016,3.59552927254949
1969-08-06,4.02721474898464,0.914255679811721,3.51328742742165
1969-08-07,4.22971963077117,0.893053857033393,3.4318133944456
1969-08-08,3.6244846708236,0.872046398847813,3.3510862626867
1969-08-09,3.1681604799443,0.851224897832594,3.27107372423369
1969-08-10,2.95967680072622,0.830593776550467,3.19179277404147
1969-08-11,2.83339083370958,0.81015847592736,3.1132643204151
1969-08-12,3.37161164631453,0.789914114531776,3.03546960506596
1969-08-13,3.26648804158827,0.769847246263153,2.95835695752911
1969-08-14,3.96291041646018,0.749964424456552,2.88195156085804
1969-08-15,3.34868575378971,0.730261003536888,2.80623556310946
1969-08-16,3.05520852177801,0.710733197820374,2.73119441671692
1969-08-17,3.06677900039131,0.691383399803097,2.65683731552697
1969-08-18,3.68173488294111,0.672212554328291,2.58316789036841
1969-08-19,4.09964852596098,0.653214544615921,2.51016263577458
1969-08-20,4.06153906857733,0.634384092323061,2.43780126821185
1969-08-21,3.85572219102367,0.615733045815073,2.36612931839333
1969-08-22,3.57772961434658,0.597247271684977,2.2950924746837
1969-08-23,2.83081005782178,0.578929491051036,2.22470119375368
1969-08-24,3.14205163057749,0.560782609722,2.15496664199969
1969-08-25,3.33780348243027,0.542803136764378,2.08587540451709
1969-08-26,3.96080278312446,0.524981137002554,2.01738930256843
1969-08-27,3.82914019962785,0.507315041420793,1.94950230676457
1969-08-28,3.99048170558565,0.489817113120938,1.88226154156149
1969-08-29,3.54293215273007,0.472481031494042,1.81564271822197
1969-08-30,2.92561055899164,0.455302828332452,1.74963058777971
1969-08-31,2.65566140045894,0.438289572180037,1.68425231312454
1969-09-01,2.94655785605197,0.421425771528387,1.61944836373022
1969-09-02,3.51131764689901,0.404713356057633,1.55522615494138
1969-09-03,3.70835988643155,0.388151748236588,1.49158346743022
1969-09-04,3.7567924473742,0.371744217944198,1.4285328666364
1969-09-05,3.49811267698162,0.355488680408681,1.36606634123152
1969-09-06,3.27289696684378,0.339395595255191,1.30422408529954
1969-09-07,3.2324217982715,0.323503510924311,1.24315423218503
1969-09-08,3.48903694795384,0.310647134745138,1.19374995087743
1969-09-09,3.55553494011891,0.297226606977576,1.14217775666929
1969-09-10,3.45299211128044,0.281962648126847,1.08352165432603
1969-09-11,3.10385614584025,0.266665109186901,1.02473651094112
1969-09-12,2.40919730120279,0.251439201913232,0.96622663260305
1969-09-13,2.217746742852,0.236302290704236,0.908058746950411
1969-09-14,2.34889317117105,0.221282982135275,0.850342782883593
1969-09-15,3.20558172902276,0.206394766366613,0.793130580179474
1969-09-16,3.55802969023269,0.19163661003185,0.73641816783381
1969-09-17,3.67463774779824,0.177013726665971,0.680225580337308
1969-09-18,3.48082147826142,0.162528951864205,0.624563714270958
1969-09-19,2.81476623310715,0.14816404953294,0.569362492259449
1969-09-20,2.08075055602915,0.133919317357232,0.514623058242247
1969-09-21,2.19619726431182,0.119804365351413,0.460382341432135
1969-09-22,2.9227717041996,0.105813242242311,0.406617472369643
1969-09-23,4.06416285603929,0.0919535190887247,0.353357545001113
1969-09-24,4.26202234122518,0.0782171240585929,0.30057154101654
1969-09-25,4.19251344376617,0.0646081397055128,0.24827514878904
1969-09-26,3.26889676434585,0.0511118336934313,0.196411755128039
1969-09-27,2.41818700392568,0.0377361917082322,0.145012047302356
1969-09-28,2.3171926406225,0.0245000361151025,0.0941483556025509
1969-09-29,2.40734774519172,0.0116516850272357,0.0447749129903075
1969-09-30,2.61170218299192,0,0
1969-10-01,2.24686649751535,0,0
1969-10-02,2.04900701232946,0,0
1969-10-03,1.68984903380865,0,0
1969-10-04,1.42940573318162,0,0
1969-10-05,1.86095447552502,0,0
1969-10-06,2.60344370014575,0,0
1969-10-07,2.63888635586238,0,0
1969-10-08,2.13886102642029,0,0
1969-10-09,1.54179852249354,0,0
1969-10-10,1.56218665070472,0,0
1969-10-11,1.41654486320112,0,0
1969-10-12,1.82964105754145,0,0
1969-10-13,2.53144004889073,0,0
1969-10-14,3.40559185701328,0,0
1969-10-15,4.00123493328118,0,0
1969-10-16,3.95538314822893,0.467088295727023,1.79491959755886
1969-10-17,3.54830876394563,0.972123325819743,3.73566031245129
1969-10-18,2.66353276179089,1.16835885229895,4.48975112448196
1969-10-19,2.6957494475196,0.990101540139735,3.80474671326089
1969-10-20,3.07503747797566,0.815237323370127,3.13278123593499
1969-10-21,3.57824576426233,0.706629601996424,2.71542518286488
1969-10-22,3.44709933594067,0.639513524585903,2.45751257028718
1969-10-23,3.28115544600511,0.598713867026338,2.30072828432393
1969-10-24,3.08536058152946,0.566970059763323,2.17874367824676
1969-10-25,2.95163337732261,0.543140835217665,2.08717310685178
1969-10-26,2.92251362266186,0.524346029192349,2.01494872020846
1969-10-27,2.96320385593591,0.509574937311982,1.95818659935047
1969-10-28,3.00522749004086,0.494726360555188,1.9011267208212
1969-10-29,2.9879793044718,0.482519990989165,1.8542202747605
1969-10-30,3.18252679389056,0.473136036660494,1.81815976183133
1969-10-31,3.15443934958493,0.460983520377967,1.77146026232619
1969-11-01,3.39019322745269,0.447376250305915,1.71917045771102
1969-11-02,3.43759347803762,0.441520911365518,1.69666965280836
1969-11-03,4.27445307442987,0.436214329140735,1.67627760162991
1969-11-04,4.84592288311865,0.436907504841141,1.67894132637016
1969-11-05,5.11337729153496,0.668591618831073,2.56925341607113
1969-11-06,4.63567567366352,1.1207389637372,4.30675816149193
1969-11-07,4.14713479705551,1.48815496843703,5.71865863796612
1969-11-08,3.7100373866841,1.54515711482548,5.93770559459408
1969-11-09,3.31857669666316,1.35573834810212,5.20981012033907
1969-11-10,3.30021017496497,1.24004121748417,4.76521099630355
1969-11-11,3.27190766596017,1.16761735644223,4.48690171580073
1969-11-12,3.76169591762247,1.12546078860607,4.32490311624869
1969-11-13,3.79567613358303,1.09944814222612,4.22494212557758
1969-11-14,3.86062566021281,1.07097318445968,4.11551900322104
1969-11-15,3.69493984813016,1.04459385628187,4.01414893347205
1969-11-16,3.38559084505971,1.02774084406455,3.94938644170445
1969-11-17,3.47690729996313,1.00706769494998,3.86994398761504
1969-11-18,3.34859972643611,0.975272332973603,3.74776126789167
1969-11-19,3.55170679022553,0.950991396770354,3.65445486600367
1969-11-20,3.59622517496994,0.914349260960011,3.51364703959469
1969-11-21,3.51570496722633,0.877933541421046,3.37370928209221
1969-11-22,3.46056238897279,0.852740069724558,3.27689620308284
1969-11-23,3.42142062123403,0.838650377242608,3.222752553176
1969-11-24,3.4489919103621,0.833773353739931,3.20401120353655
1969-11-25,3.29285496880538,0.825058125555316,3.17052046097488
